instance;g;num_cities;city;prize;penalty;avg_distance;pa
atex1;2;16;0;0;99999999;392.799988;0.000000
atex1;2;16;1;83;83;436.666687;15.776335
atex1;2;16;2;49;49;512.066650;4.688843
atex1;2;16;3;2;2;436.666687;0.009160
atex1;2;16;4;45;45;391.733337;5.169333
atex1;2;16;5;99;99;435.599976;22.500002
atex1;2;16;6;23;23;511.000000;1.035225
atex1;2;16;7;81;81;435.599976;15.061984
atex1;2;16;8;61;61;394.200012;9.439370
atex1;2;16;9;80;80;425.866669;15.028178
atex1;2;16;10;73;73;394.200012;13.518518
atex1;2;16;11;10;10;384.733337;0.259920
atex1;2;16;12;86;86;395.266663;18.711418
atex1;2;16;13;41;41;426.933319;3.937383
atex1;2;16;14;84;84;395.266663;17.851240
atex1;2;16;15;68;68;385.799988;11.985485
atex1;5;16;0;0;99999999;392.799988;0.000000
atex1;5;16;1;83;83;436.666687;15.776335
atex1;5;16;2;49;49;512.066650;4.688843
atex1;5;16;3;2;2;436.666687;0.009160
atex1;5;16;4;45;45;391.733337;5.169333
atex1;5;16;5;99;99;435.599976;22.500002
atex1;5;16;6;23;23;511.000000;1.035225
atex1;5;16;7;81;81;435.599976;15.061984
atex1;5;16;8;61;61;394.200012;9.439370
atex1;5;16;9;80;80;425.866669;15.028178
atex1;5;16;10;73;73;394.200012;13.518518
atex1;5;16;11;10;10;384.733337;0.259920
atex1;5;16;12;86;86;395.266663;18.711418
atex1;5;16;13;41;41;426.933319;3.937383
atex1;5;16;14;84;84;395.266663;17.851240
atex1;5;16;15;68;68;385.799988;11.985485
atex1;8;16;0;0;99999999;392.799988;0.000000
atex1;8;16;1;83;83;436.666687;15.776335
atex1;8;16;2;49;49;512.066650;4.688843
atex1;8;16;3;2;2;436.666687;0.009160
atex1;8;16;4;45;45;391.733337;5.169333
atex1;8;16;5;99;99;435.599976;22.500002
atex1;8;16;6;23;23;511.000000;1.035225
atex1;8;16;7;81;81;435.599976;15.061984
atex1;8;16;8;61;61;394.200012;9.439370
atex1;8;16;9;80;80;425.866669;15.028178
atex1;8;16;10;73;73;394.200012;13.518518
atex1;8;16;11;10;10;384.733337;0.259920
atex1;8;16;12;86;86;395.266663;18.711418
atex1;8;16;13;41;41;426.933319;3.937383
atex1;8;16;14;84;84;395.266663;17.851240
atex1;8;16;15;68;68;385.799988;11.985485
atex3;2;32;0;0;99999999;332.645172;0.000000
atex3;2;32;1;30;30;190.967743;4.712838
atex3;2;32;2;49;49;332.645172;7.217901
atex3;2;32;3;85;85;474.322571;15.232250
atex3;2;32;4;32;32;332.645172;3.078355
atex3;2;32;5;39;39;190.967743;7.964696
atex3;2;32;6;2;2;332.645172;0.012025
atex3;2;32;7;93;93;474.322571;18.234426
atex3;2;32;8;94;94;332.645172;26.562838
atex3;2;32;9;52;52;190.967743;14.159459
atex3;2;32;10;96;96;332.645172;27.705196
atex3;2;32;11;51;51;474.322571;5.483610
atex3;2;32;12;48;48;332.645172;6.926299
atex3;2;32;13;26;26;474.322571;1.425190
atex3;2;32;14;3;3;332.645172;0.027056
atex3;2;32;15;30;30;190.967743;4.712838
