number;value;datetime_start;datetime_complete;duration;params_l2_regularization;params_learning_rate;params_max_iter;params_max_leaf_nodes;params_min_samples_leaf;state
0;0.9085615857891858;2026-06-20 09:16:26.834735;2026-06-20 09:16:30.460193;0 days 00:00:03.625458;0.33891604412428855;0.02450012529236551;288;64;22;COMPLETE
1;0.9152729679265266;2026-06-20 09:16:30.463228;2026-06-20 09:16:32.480722;0 days 00:00:02.017494;2.0664683721923788e-05;0.1858195061839875;623;35;53;COMPLETE
2;0.9114880717642355;2026-06-20 09:16:32.481027;2026-06-20 09:16:35.128805;0 days 00:00:02.647778;2.6821645085336103e-05;0.08630874569624103;342;25;87;COMPLETE
3;0.9128004469714502;2026-06-20 09:16:35.129180;2026-06-20 09:16:36.806510;0 days 00:00:01.677330;3.7649066937829616;0.1651755013906545;161;39;42;COMPLETE
4;0.899279143219841;2026-06-20 09:16:36.807219;2026-06-20 09:16:40.741104;0 days 00:00:03.933885;9.861508775334069e-05;0.010008744999235764;252;79;25;COMPLETE
5;0.9112778216830792;2026-06-20 09:16:40.741748;2026-06-20 09:16:44.943143;0 days 00:00:04.201395;5.568204349273229e-08;0.0698343931731198;755;68;95;COMPLETE
6;0.9106319135699442;2026-06-20 09:16:44.943437;2026-06-20 09:16:51.159853;0 days 00:00:06.216416;0.008807887322423958;0.04522311308242406;455;103;85;COMPLETE
7;0.9066752829955401;2026-06-20 09:16:51.160110;2026-06-20 09:16:53.183289;0 days 00:00:02.023179;3.1409425122939944e-08;0.05334938754025848;165;67;85;COMPLETE
8;0.9004159949612882;2026-06-20 09:16:53.183610;2026-06-20 09:16:56.749142;0 days 00:00:03.565532;0.017429662472635592;0.012429626434804834;568;19;42;COMPLETE
9;0.8922603687667913;2026-06-20 09:16:56.749429;2026-06-20 09:16:59.342638;0 days 00:00:02.593209;4.950656980246446;0.011186951263921193;415;16;15;COMPLETE
10;0.9113963101266336;2026-06-20 09:16:59.342925;2026-06-20 09:17:00.802374;0 days 00:00:01.459449;7.276016239007251e-06;0.19816937207480903;793;124;67;COMPLETE
11;0.9122645915062652;2026-06-20 09:17:00.802816;2026-06-20 09:17:01.721521;0 days 00:00:00.918705;0.0019840971957435036;0.1802314915965259;105;41;52;COMPLETE
12;0.9143155405018935;2026-06-20 09:17:01.721954;2026-06-20 09:17:04.443422;0 days 00:00:02.721468;3.848403104291325;0.12243067890847881;619;41;50;COMPLETE
13;0.9130555516560002;2026-06-20 09:17:04.443701;2026-06-20 09:17:07.063358;0 days 00:00:02.619657;1.6162898054085903e-06;0.107287536628386;630;47;63;COMPLETE
14;0.914998276126202;2026-06-20 09:17:07.063698;2026-06-20 09:17:09.467194;0 days 00:00:02.403496;0.001080081491651654;0.11527941637306184;628;48;65;COMPLETE
15;0.9134497874030068;2026-06-20 09:17:09.467503;2026-06-20 09:17:11.282102;0 days 00:00:01.814599;0.0007297406723811064;0.12695130350366118;700;56;67;COMPLETE
16;0.9118450433326533;2026-06-20 09:17:11.282387;2026-06-20 09:17:16.602112;0 days 00:00:05.319725;1.0898594745503032e-06;0.03650017912536586;507;81;74;COMPLETE
17;0.9153763527435599;2026-06-20 09:17:16.602387;2026-06-20 09:17:19.919959;0 days 00:00:03.317572;0.00025820195138538226;0.07803014120952038;671;29;55;COMPLETE
18;0.911772312632606;2026-06-20 09:17:19.920249;2026-06-20 09:17:24.625458;0 days 00:00:04.705209;0.00013100766818818286;0.02612253236345156;705;31;33;COMPLETE
19;0.9146340787664624;2026-06-20 09:17:24.625741;2026-06-20 09:17:27.776238;0 days 00:00:03.150497;5.14270339252448e-07;0.07267783310504844;529;29;54;COMPLETE
20;0.9146936840844214;2026-06-20 09:17:27.776509;2026-06-20 09:17:31.546228;0 days 00:00:03.769719;0.04598022926195038;0.05747831011491261;719;31;39;COMPLETE
21;0.9148180687655951;2026-06-20 09:17:31.546515;2026-06-20 09:17:34.084108;0 days 00:00:02.537593;0.0004302715833391149;0.10142969903749721;636;53;60;COMPLETE
22;0.9128406243847522;2026-06-20 09:17:34.084375;2026-06-20 09:17:35.808722;0 days 00:00:01.724347;1.9025283614899647e-05;0.14850650592057632;581;53;75;COMPLETE
23;0.915967673458753;2026-06-20 09:17:35.809001;2026-06-20 09:17:38.931792;0 days 00:00:03.122791;0.005163036927662526;0.08436775918728333;671;38;56;COMPLETE
24;0.9144529331345078;2026-06-20 09:17:38.932072;2026-06-20 09:17:42.400632;0 days 00:00:03.468560;0.23322017290541658;0.07183532434552037;699;37;48;COMPLETE
25;0.9085970356268407;2026-06-20 09:17:42.400916;2026-06-20 09:17:45.537545;0 days 00:00:03.136629;0.0028514491041330306;0.03473293880933611;503;23;57;COMPLETE
26;0.9146525344144539;2026-06-20 09:17:45.537935;2026-06-20 09:17:48.346829;0 days 00:00:02.808894;0.00015692537060227194;0.09509909100843755;662;15;32;COMPLETE
27;0.9149134332513202;2026-06-20 09:17:48.347118;2026-06-20 09:17:50.752571;0 days 00:00:02.405453;7.498851502963968e-06;0.13902047611612398;789;36;74;COMPLETE
28;0.9143521492865669;2026-06-20 09:17:50.752839;2026-06-20 09:17:54.118286;0 days 00:00:03.365447;2.4649492683435806e-07;0.07979608727010284;561;46;48;COMPLETE
29;0.9081808829798955;2026-06-20 09:17:54.118561;2026-06-20 09:17:58.923864;0 days 00:00:04.805303;0.17294778864010163;0.01712633693718182;446;60;35;COMPLETE
30;0.9132897095739141;2026-06-20 09:17:58.924163;2026-06-20 09:18:02.964533;0 days 00:00:04.040370;0.005951938376093117;0.0572208734651402;743;25;58;COMPLETE
31;0.9141401107146583;2026-06-20 09:18:02.964815;2026-06-20 09:18:05.282557;0 days 00:00:02.317742;0.0005423682066391806;0.12132795939974873;651;48;67;COMPLETE
32;0.9140684377222088;2026-06-20 09:18:05.282835;2026-06-20 09:18:08.062340;0 days 00:00:02.779505;3.8740088946579626e-05;0.08911404370859724;596;32;63;COMPLETE
33;0.9145993934092707;2026-06-20 09:18:08.062659;2026-06-20 09:18:10.239505;0 days 00:00:02.176846;0.034062518012724904;0.14285752555523767;692;76;45;COMPLETE
34;0.9134544832921332;2026-06-20 09:18:10.239785;2026-06-20 09:18:12.079284;0 days 00:00:01.839499;0.0015266122014636182;0.17099250214591463;661;44;76;COMPLETE
35;0.9129168205654732;2026-06-20 09:18:12.079546;2026-06-20 09:18:15.191401;0 days 00:00:03.111855;0.00022188364925951004;0.10890685333985993;545;23;79;COMPLETE
