instance	g	UB		    LB		    best known solution
br17		2	39		    38.1		39
ft53		2	3026		2923.1		2990
ft70		2	15909		15500.0		15699
ftv100		2	1669		1668.0		1669
ftv110		2	1893		1892.0		1892
ftv120		2	1950		1947.9		1950
ftv130		2	2161		2158.1		2160
ftv140		2	2257		2252.7		2255
ftv150		2	2544		2542.2		2543
ftv160		2	2528		2520.0		2528
ftv170		2	2660		2649.0		2660
ftv33		2	1083		1082.1		1083
ftv35		2	1161		1160.1		1161
ftv38		2	1185		1177.1		1185
ftv44		2	1269		1268.0		1269
ftv47		2	1410		1409.0		1410
ftv55		2	1553		1525.8		1553
ftv64		2	1545		1540.2		1545
ftv70		2	1669		1635.2		1669
ftv80		2	1376		1375.0		1376
ftv90		2	1452		1451.0		1452
kro124		2	9831		9227.7		9619
p43		    2	371		    370.0		371
ry48p		2	4430		4070.0		4426
rbg323		2	1201		1175.0		1181
rbg358		2	990		    986.0		987
rbg403		2	2102		2053.0		2054
rbg443		2	2401		2360.0		2370
br17		5	39		    38.1		39
ft53		5	3721		3557.9		3667
ft70		5	25609		24870.0		25195
ftv100		5	1669		1668.0		1669
ftv110		5	1893		1892.0		1892
ftv120		5	1950		1947.1		1950
ftv130		5	2161		2158.1		2160
ftv140		5	2264		2242.5		2255
ftv150		5	2551		2541.0		2543
ftv160		5	2530		2520.0		2528
ftv170		5	2660		2649.0		2660
ftv33		5	1083		1082.1		1083
ftv35		5	1165		1155.7		1161
ftv38		5	1185		1177.7		1185
ftv44		5	1269		1266.1		1269
ftv47		5	1410		1409.0		1410
ftv55		5	1555		1525.8		1553
ftv64		5	1545		1540.2		1545
ftv70		5	1673		1630.7		1669
ftv80		5	1380		1374.8		1376
ftv90		5	1452		1451.0		1452
kro124		5	16951		16179.8		16595
p43		    5	371		    370.0		371
ry48p		5	5980		5783.8		5960
rbg323		5	1201		1177.1		1181
rbg358		5	997		    983.7		987
rbg403		5	2102		2051.3		2054
rbg443		5	2401		2366.8		2370
br17		8	39		    38.1		39
ft53		8	4959		4830.0		4898
ft70		8	25488		24903.9		25195
ftv100		8	1669		1668.0		1669
ftv110		8	1893		1892.0		1892
ftv120		8	1950		1946.1		1950
ftv130		8	2165		2151.4		2160
ftv140		8	2264		2240.0		2255
ftv150		8	2544		2539.6		2543
ftv160		8	2530		2515.0		2528
ftv170		8	2660		2648.6		2660
ftv33		8	1148		1146.8		1148
ftv35		8	1189		1180.4		1189
ftv38		8	1225		1196.6		1219
ftv44		8	1312		1290.5		1312
ftv47		8	1450		1427.9		1449
ftv55		8	1554		1525.8		1553
ftv64		8	1550		1547.7		1548
ftv70		8	1716		1700.3		1716
ftv80		8	1376		1375.0		1376
ftv90		8	1452		1451.0		1452
kro124		8	25607		24502.8		25036
p43		    8	371		    370.0		371
ry48p		8	9471		9290.1		9461
rbg323		8	1198		1177.9		1181
rbg358		8	990		    985.3		987
rbg403		8	2092		2051.8		2054
rbg443		8	2401		2366.8		2370
atex1		2	1028		1027.0		1028
atex3		2	1580		1579.7		1580
atex4		2	2310		2309.3		2310
atex5		2	3291		3241.7		3281
dc112		2	3993		3992.2		3993
dc126		2	6281		6132.0		6204
dc134		2	3743		3742.1		3743
dc176		2	5561		5474.6		5495
dc188		2	4599		4522.7		4562
code198		2	861		    826.0		842
code253		2	6417		6158.0		6263
td100_1		2	36960		35905.8		36509
td316_10	2	76986		76087.5		76557
atex1		5	1603		1363.8		1597
atex3		5	1963		1872.8		1943
atex4		5	2310		2309.3		2310
atex5		5	3315		3266.4		3281
dc112		5	4242		4242.0		4242
dc126		5	12752		12362.5		12595
dc134		5	3743		3742.1		3743
dc176		5	5561		5474.6		5495
dc188		5	4599		4522.7		4562
code198		5	861		    826.0		842
code253		5	6417		6158.0		6263
td100_1		5	86909		84982.0		85987
td316_10	5	204331		200318.6	201465
atex1		8	1604		1566.7		1597
atex3		8	2491		2437.3		2464
atex4		8	2497		2356.2		2465
atex5		8	3633		3479.3		3592
dc112		8	6501		6501.0		6501
dc126		8	51239		49719.9		50597
dc134		8	3821		3800.4		3807
