instance	g	solution	time	status
atex1	2	1028.0	0.2	OPTIMAL
atex1	5	1597.0	0.6	OPTIMAL
atex1	8	1597.0	0.4	OPTIMAL
atex3	2	1580.0	0.8	OPTIMAL
atex3	5	1943.0	1.3	OPTIMAL
atex3	8	2464.0	1.5	OPTIMAL
atex4	2	2310.0	2.9	OPTIMAL
atex4	5	2320.0	3.3	OPTIMAL
atex4	8	2465.0	8.9	OPTIMAL
atex5	2	3281.0	5.3	OPTIMAL
atex5	5	3281.0	6.3	OPTIMAL
atex5	8	3592.0	5.8	OPTIMAL
br17	2	39.0	0.1	OPTIMAL
br17	5	39.0	0.1	OPTIMAL
br17	8	39.0	0.2	OPTIMAL
code198	2	842.0	13.0	OPTIMAL
code198	5	842.0	12.5	OPTIMAL
code198	8	842.0	12.2	OPTIMAL
code253	2	6263.0	19.6	OPTIMAL
code253	5	6263.0	22.5	OPTIMAL
code253	8	23069.0	314.8	OPTIMAL
crane100_0	2	1519569.0	120.9	OPTIMAL
crane100_0	5	3119565.0	53.7	OPTIMAL
crane100_0	8	5193803.0	56.6	OPTIMAL
crane100_1	2	1028512.0	16.9	OPTIMAL
crane100_1	5	2587915.7	58.0	OPTIMAL
crane100_1	8	4696089.0	31.2	OPTIMAL
crane100_2	2	1318394.0	44.0	OPTIMAL
crane100_2	5	2843409.0	24.3	OPTIMAL
crane100_2	8	5020301.0	60.1	OPTIMAL
crane100_3	2	1378011.0	77.4	OPTIMAL
crane100_3	5	2751209.0	37.2	OPTIMAL
crane100_3	8	4623169.0	25.1	OPTIMAL
crane100_4	2	1203034.0	17.6	OPTIMAL
crane100_4	5	2929798.0	49.9	OPTIMAL
crane100_4	8	4984399.0	69.3	OPTIMAL
crane100_5	2	1211265.0	48.3	OPTIMAL
crane100_5	5	2756499.0	18.6	OPTIMAL
crane100_5	8	5156564.0	28.3	OPTIMAL
crane100_6	2	1026234.0	33.3	OPTIMAL
crane100_6	5	2307968.0	19.5	OPTIMAL
crane100_6	8	4107742.0	10.7	OPTIMAL
crane100_7	2	1240795.0	30.6	OPTIMAL
crane100_7	5	2626015.0	13.8	OPTIMAL
crane100_7	8	4452800.0	10.4	OPTIMAL
crane100_8	2	1408021.8	55.1	OPTIMAL
crane100_8	5	3056879.0	19.3	OPTIMAL
crane100_8	8	4819808.0	9.5	OPTIMAL
crane100_9	2	1255841.0	280.2	OPTIMAL
crane100_9	5	2807391.0	223.8	OPTIMAL
crane100_9	8	4561415.0	54.4	OPTIMAL
crane316_10	2	1791756.0	1489.9	OPTIMAL
crane316_10	5	4423414.0	1419.0	OPTIMAL
crane316_10	8	7839559.0	1493.4	OPTIMAL
crane316_11	2	1806858.0	3600.2	TIME_LIMIT
crane316_11	5	4547174.0	1031.7	OPTIMAL
crane316_11	8	8003282.0	2137.7	OPTIMAL
crane316_12	2	1971472.0	3600.4	TIME_LIMIT
crane316_12	5	4501234.0	3607.5	TIME_LIMIT
crane316_12	8	7725382.9	2722.4	OPTIMAL
crane316_13	2	1724803.0	3600.2	TIME_LIMIT
crane316_13	5	4209269.0	1329.2	OPTIMAL
crane316_13	8	7440831.0	1313.4	OPTIMAL
crane316_14	2	1690461.0	3600.1	TIME_LIMIT
