instance	g	fo_construcao	fo_busca_local	fo_concorde	tempo_construcao	tempo_busca_local	tempo_concorde
crane100_0	8	6413033.00	5547428.00	5445904.00	0.000191	0.153898	0.052549
crane100_1	8	5597355.00	4838364.00	4812503.00	0.000194	0.192114	0.033132
crane100_2	8	6056565.00	5271585.00	5192614.00	0.000190	0.232136	0.035509
crane100_4	8	8041382.00	5511546.00	5314013.00	0.000053	0.501476	0.691886
crane100_6	5	3552117.00	2365679.00	2340667.00	0.000027	0.088631	0.008044
crane100_7	2	2982402.00	1340947.00	1336728.00	0.000011	0.072534	0.024266
crane100_7	8	7709201.00	4899853.00	4777047.00	0.000045	0.432932	0.035201
crane100_8	5	4891008.00	3456030.00	3433661.00	0.000068	0.114510	0.028178
crane100_8	8	7671416.00	5376295.00	5291540.00	0.000053	0.380950	0.013616
crane316_10	8	10404794.00	9057412.00	8850612.00	0.003865	12.566944	42.827195
crane316_11	8	11313372.00	9378029.00	8820667.00	0.003753	16.654516	24.106995
crane316_12	5	6831518.00	5221543.00	5170469.00	0.000857	3.656063	0.047129
crane316_13	2	4228593.00	2006965.00	1936735.00	0.000081	1.543183	0.024073
crane316_13	8	10859208.00	8790246.00	8681065.00	0.003947	20.029182	5.696566
crane316_14	5	6495160.00	4880522.00	4836927.00	0.000832	4.098224	0.625944
crane316_16	2	5222993.00	2266112.00	2256138.00	0.000082	1.963056	0.029835
crane316_16	5	10118436.00	5495949.00	5433643.00	0.000208	8.517112	1.621629
crane316_17	5	8221078.00	5464090.00	5395882.00	0.000200	5.397466	0.040109
crane316_17	8	11447503.00	9738600.00	9425388.00	0.004290	19.924140	55.574325
crane316_18	8	10734320.00	8986526.00	8828530.00	0.003841	16.612655	30.747746
crane316_19	5	7859009.00	5039683.00	4836158.00	0.000303	5.069181	0.156350
crane66_1	8	4453052.00	4305332.00	4124332.00	0.000085	0.028902	0.042878
dc112	8	6680.00	6514.00	6501.00	0.000315	0.260981	0.600304
dc126	5	13347.00	12599.00	12595.00	0.000056	0.356701	1.891588
dc126	8	53186.00	50639.00	50600.00	0.000091	1.792580	61.641681
dc134	8	3861.00	3815.00	3807.00	0.000075	0.460319	0.892904
dc176	2	8000.00	5497.00	5496.00	0.000068	2.447665	0.188832
dc176	5	6528.00	5497.00	5496.00	0.000354	2.011383	0.463693
dc176	8	5640.00	5632.00	5625.00	0.001024	0.450911	0.550052
dc188	8	4616.00	4609.00	4608.00	0.001365	0.615044	0.607909
ft53	8	6426.00	5118.00	5069.00	0.000052	0.032379	0.146606
ft70	5	17838.00	15939.00	15787.00	0.000019	0.018596	0.025626
ft70	8	26375.00	25554.00	25195.00	0.000084	0.038803	0.012047
ftv100	2	4800.00	1742.00	1707.00	0.000017	1.048683	0.180607
ftv130	5	4847.00	2323.00	2192.00	0.000235	2.876691	0.051085
ftv170	2	8125.00	2930.00	2899.00	0.000043	6.666150	0.110988
ftv170	8	5110.00	2793.00	2679.00	0.000165	7.702384	0.038211
ftv38	8	1611.00	1275.00	1239.00	0.000035	0.024907	0.027914
ftv55	8	1931.00	1577.00	1568.00	0.000085	0.073698	0.028865
ftv64	5	2576.00	1598.00	1573.00	0.000021	0.092184	0.029621
