instance	g	fo_construcao	fo_busca_local	fo_concorde	tempo_construcao	tempo_busca_local	tempo_concorde
atex1	2	1028.00	1028.00	1028.00	0.000004	0.000165	0.000823
atex1	5	1802.00	1597.00	1597.00	0.000005	0.001107	0.002616
atex1	8	1601.00	1597.00	1597.00	0.000004	0.000459	0.002863
atex3	2	1678.00	1580.00	1580.00	0.000006	0.001600	0.002703
atex3	5	2279.00	1943.00	1943.00	0.000008	0.003536	0.007194
atex3	8	3279.00	2464.00	2464.00	0.000018	0.008586	0.012944
atex4	2	2921.00	2310.00	2310.00	0.000005	0.016328	0.004699
atex4	5	3323.00	2320.00	2320.00	0.000010	0.013938	0.007744
atex4	8	3116.00	2503.00	2503.00	0.000017	0.039003	64.764854
atex5	2	4818.00	3288.00	3288.00	0.000007	0.041839	0.028556
atex5	5	4875.00	3281.00	3281.00	0.000017	0.040264	0.029204
atex5	8	5207.00	3765.00	3765.00	0.000078	0.126606	0.027486
br17	2	677.00	39.00	39.00	0.000003	0.003498	0.031586
br17	5	439.00	39.00	39.00	0.000005	0.003053	0.031225
br17	8	265.00	39.00	39.00	0.000006	0.002305	0.031615
code198	2	1000008192.00	843.00	843.00	0.000041	14.068111	0.789377
code198	5	1000005120.00	842.00	842.00	0.000685	12.629061	0.833094
code198	8	1000005248.00	842.00	842.00	0.000188	8.476029	0.819500
code253	2	1000010688.00	6263.00	6263.00	0.000069	5.921995	0.619330
code253	5	1000007552.00	6263.00	6263.00	0.001227	1.627274	0.605555
code253	8	51347.00	27764.00	27764.00	0.004418	9.110069	0.962080
crane100_0	2	2007038.00	1519569.00	1519569.00	0.000010	0.031198	0.023318
crane100_0	5	4403694.00	3386750.00	3386750.00	0.000066	0.073618	0.010119
crane100_1	2	2474173.00	1029922.00	1029922.00	0.000011	0.054393	0.001413
crane100_1	5	3485152.00	2848810.00	2848810.00	0.000066	0.055910	0.032998
crane100_2	2	2581611.00	1375624.00	1375624.00	0.000010	0.036545	0.005438
