grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Pequeno porte	atex1	16	2	0.0000	0.0000	0.0100	0.2	True
Pequeno porte	atex1	16	5	0.0000	-0.3743	0.0300	0.6	True
Pequeno porte	atex1	16	8	0.0000	-0.4364	0.0100	0.4	True
Pequeno porte	atex3	32	2	0.0000	0.0000	0.0470	0.8	True
Pequeno porte	atex3	32	5	0.0000	-1.0188	0.0720	1.3	True
Pequeno porte	atex3	32	8	0.0000	-1.0839	0.1770	1.5	True
Pequeno porte	atex4	48	2	0.0000	0.0000	0.4200	3.0	True
Pequeno porte	atex4	48	5	0.0000	0.4329	0.5410	3.3	True
Pequeno porte	atex4	48	8	1.5416	0.2403	65.9920	8.9	False
Pequeno porte	atex5	72	2	0.0000	-0.3039	0.6950	5.3	True
Pequeno porte	atex5	72	5	0.0000	-1.0256	0.9020	8.3	True
Pequeno porte	atex5	72	8	4.7606	3.5783	2.7600	6.8	True
Pequeno porte	br17	17	2	0.0000	0.0000	0.0970	0.1	True
Pequeno porte	br17	17	5	0.0000	0.0000	0.0890	0.1	True
Pequeno porte	br17	17	8	0.0000	0.0000	0.0780	0.2	True
Médio porte	code198	198	2	0.0000	-2.2067	274.8240	13.0	False
Médio porte	code198	198	5	0.0000	-2.2067	256.0500	13.4	False
Médio porte	code198	198	8	0.0000	-2.2067	158.3380	13.7	False
Grande porte	code253	253	2	0.0000	-2.3999	122.7030	25.4	False
Grande porte	code253	253	5	0.0000	-2.3999	93.9810	23.1	False
Grande porte	code253	253	8	11.3139	8.3091	227.2220	314.8	True
Pequeno porte	crane100_0	100	2	0.0000	-1.3223	0.7270	120.9	True
Pequeno porte	crane100_0	100	5	5.1544	3.6617	2.0940	53.7	True
Pequeno porte	crane100_0	100	8	3.7383	2.1147	6.6300	56.6	True
Pequeno porte	crane100_1	100	2	0.1371	-0.2519	0.8890	16.9	True
Pequeno porte	crane100_1	100	5	9.2664	8.6255	2.1100	58.0	True
Pequeno porte	crane100_1	100	8	2.8268	1.9905	6.0610	36.4	True
Pequeno porte	crane100_2	100	2	2.3232	1.3603	0.8980	44.0	True
Pequeno porte	crane100_2	100	5	4.1444	2.8079	1.8800	24.3	True
