grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Grande porte	code253	253	2	0.0000	-2.3999	122.7030	25.4	False
Grande porte	code253	253	5	0.0000	-2.3999	93.9810	23.1	False
Grande porte	code253	253	8	11.3139	8.3091	227.2220	314.8	True
Grande porte	crane316_10	316	2	6.7151	5.9269	33.9680	1489.9	True
Grande porte	crane316_10	316	5	16.1560	4.5894	117.7580	1423.1	True
Grande porte	crane316_10	316	8	9.9897	2.0294	437.2740	1522.0	True
Grande porte	crane316_11	316	2	19.4597	18.6648	29.2400	3600.2	True
Grande porte	crane316_11	316	5	17.9819	16.8832	99.4520	1048.4	True
Grande porte	crane316_11	316	8	11.4998	10.4068	420.6040	2163.5	True
Grande porte	crane316_12	316	2	16.3140	16.5160	39.1060	3600.4	True
Grande porte	crane316_12	316	5	11.6691	0.1997	110.4400	3607.5	True
Grande porte	crane316_12	316	8	10.7250	5.5781	432.7270	2722.4	True
Grande porte	crane316_13	316	2	14.1077	7.7581	37.1440	3600.2	True
Grande porte	crane316_13	316	5	16.8269	3.4695	107.7480	1329.2	True
Grande porte	crane316_13	316	8	14.6584	13.0530	426.9200	1313.4	True
Grande porte	crane316_14	316	2	14.4762	11.3869	40.8470	3600.1	True
Grande porte	crane316_14	316	5	7.9500	7.8845	114.7280	3600.1	True
Grande porte	crane316_14	316	8	9.7103	1.0674	421.7290	3544.7	True
Grande porte	crane316_15	316	2	16.0493	8.6698	32.9540	3604.5	True
Grande porte	crane316_15	316	5	20.0768	16.1014	101.7030	3600.2	True
Grande porte	crane316_15	316	8	14.8001	12.9700	502.8420	1634.3	True
Grande porte	crane316_16	316	2	30.9105	28.4867	38.4660	3600.1	True
Grande porte	crane316_16	316	5	13.4085	2.1943	123.7580	3600.3	True
Grande porte	crane316_16	316	8	9.2031	-2.4437	526.5110	3600.1	True
Grande porte	crane316_17	316	2	15.6836	14.6177	39.7530	3600.1	True
Grande porte	crane316_17	316	5	14.6317	-2.3274	104.9340	3177.8	True
Grande porte	crane316_17	316	8	13.7686	7.9764	458.5070	3600.1	True
Grande porte	crane316_18	316	2	16.1731	17.9546	36.8310	3600.1	True
Grande porte	crane316_18	316	5	21.0672	20.0944	108.6160	1465.2	True
Grande porte	crane316_18	316	8	12.3313	8.4038	447.5370	3600.1	True
Grande porte	crane316_19	316	2	9.8281	9.2165	29.1200	2284.8	True
Grande porte	crane316_19	316	5	13.5789	12.2567	91.2910	1872.4	True
Grande porte	crane316_19	316	8	12.8251	8.2426	434.6960	3600.0	True
Grande porte	rbg323	323	2	9.3988	7.5770	2289.4890	30.2	False
Grande porte	rbg323	323	5	8.4674	6.6611	2342.2960	31.0	False
Grande porte	rbg323	323	8	6.1812	4.6745	1718.0380	47.2	False
Grande porte	rbg358	358	2	17.5279	17.1717	3812.1400	34.2	False
Grande porte	rbg358	358	5	16.1094	14.9448	3964.6767	31.5	False
Grande porte	rbg358	358	8	12.3607	12.0202	2914.9530	33.2	False
Grande porte	rbg403	403	2	2.2395	-0.0951	4909.7933	49.0	False
Grande porte	rbg403	403	5	2.0935	-0.2379	5218.4067	44.3	False
Grande porte	rbg403	403	8	1.2171	-0.6214	4263.9933	53.4	False
Grande porte	rbg443	443	2	2.4473	1.1245	7891.6833	74.0	False
Grande porte	rbg443	443	5	1.3502	0.0416	8227.0267	58.0	False
Grande porte	rbg443	443	8	1.1814	-0.1249	6842.8933	62.0	False
Grande porte	stilt316_10	316	2	7.1416	5.1602	67.3240	3600.1	True
Grande porte	stilt316_10	316	5	13.4068	11.7255	201.2930	3600.2	True
Grande porte	stilt316_10	316	8	6.4908	0.6666	644.2170	3600.1	True
Grande porte	stilt316_11	316	2	24.1773	22.7534	56.8940	3600.1	True
Grande porte	stilt316_11	316	5	9.5876	-0.2030	158.0870	3600.1	True
Grande porte	stilt316_11	316	8	8.7374	-1.0604	587.4200	3600.1	True
Grande porte	stilt316_12	316	2	17.4490	15.2886	62.5070	3600.1	True
Grande porte	stilt316_12	316	5	15.1005	3.7017	188.0420	3600.8	True
Grande porte	stilt316_12	316	8	9.2602	1.6698	719.7350	3600.2	True
Grande porte	stilt316_13	316	2	3.2251	1.1095	51.0260	3600.1	True
Grande porte	stilt316_13	316	5	13.6976	4.3092	178.3210	3600.3	True
Grande porte	stilt316_13	316	8	7.0564	3.7788	680.5740	3600.1	True
Grande porte	stilt316_14	316	2	10.3975	7.1340	49.6550	3600.1	True
Grande porte	stilt316_14	316	5	8.2780	-9.1610	169.7420	3600.2	True
Grande porte	stilt316_14	316	8	10.0889	-2.3040	715.9620	3600.1	True
Grande porte	stilt316_15	316	2	16.9191	15.3922	52.8490	3600.1	True
Grande porte	stilt316_15	316	5	12.9807	4.1410	152.9690	2809.0	True
Grande porte	stilt316_15	316	8	0.4118	-8.5563	596.3040	3600.1	True
Grande porte	stilt316_16	316	2	13.6371	4.2324	54.8520	3600.1	True
Grande porte	stilt316_16	316	5	13.5393	-5.3064	198.3060	3601.0	True
Grande porte	stilt316_16	316	8	7.8375	3.8285	635.2300	3600.1	True
Grande porte	stilt316_17	316	2	6.7810	-1.4987	43.8600	3600.1	True
Grande porte	stilt316_17	316	5	13.9375	-7.6214	164.2430	3600.1	True
Grande porte	stilt316_17	316	8	9.2756	4.0227	564.6260	3600.3	True
Grande porte	stilt316_18	316	2	18.5194	3.3010	60.6500	3600.1	True
