instance	g	run	solution	time
atex1	2	1	1028.00	0.01
atex1	2	2	1028.00	0.01
atex1	2	3	1028.00	0.01
atex1	2	4	1028.00	0.01
atex1	2	5	1028.00	0.01
atex1	2	6	1028.00	0.01
atex1	2	7	1028.00	0.01
atex1	2	8	1028.00	0.01
atex1	2	9	1028.00	0.01
atex1	2	10	1028.00	0.01
atex1	5	1	1597.00	0.03
atex1	5	2	1597.00	0.03
atex1	5	3	1597.00	0.03
atex1	5	4	1597.00	0.03
atex1	5	5	1597.00	0.03
atex1	5	6	1597.00	0.03
atex1	5	7	1597.00	0.03
atex1	5	8	1597.00	0.03
atex1	5	9	1597.00	0.03
atex1	5	10	1597.00	0.03
atex1	8	1	1597.00	0.01
atex1	8	2	1597.00	0.01
atex1	8	3	1597.00	0.01
atex1	8	4	1597.00	0.01
atex1	8	5	1597.00	0.01
atex1	8	6	1597.00	0.01
atex1	8	7	1597.00	0.01
atex1	8	8	1597.00	0.01
atex1	8	9	1597.00	0.01
atex1	8	10	1597.00	0.01
atex3	2	1	1580.00	0.05
atex3	2	2	1580.00	0.05
atex3	2	3	1580.00	0.05
atex3	2	4	1580.00	0.05
atex3	2	5	1580.00	0.05
atex3	2	6	1580.00	0.05
atex3	2	7	1580.00	0.05
atex3	2	8	1580.00	0.04
atex3	2	9	1580.00	0.04
atex3	2	10	1580.00	0.04
atex3	5	1	1943.00	0.07
atex3	5	2	1943.00	0.07
atex3	5	3	1943.00	0.07
atex3	5	4	1943.00	0.07
atex3	5	5	1943.00	0.09
atex3	5	6	1943.00	0.07
atex3	5	7	1943.00	0.07
atex3	5	8	1943.00	0.07
atex3	5	9	1943.00	0.07
atex3	5	10	1943.00	0.07
atex3	8	1	2464.00	0.18
atex3	8	2	2464.00	0.17
atex3	8	3	2464.00	0.18
atex3	8	4	2464.00	0.18
atex3	8	5	2464.00	0.18
atex3	8	6	2464.00	0.18
atex3	8	7	2464.00	0.18
atex3	8	8	2464.00	0.17
atex3	8	9	2464.00	0.18
atex3	8	10	2464.00	0.17
atex4	2	1	2310.00	0.41
atex4	2	2	2310.00	0.43
atex4	2	3	2310.00	0.44
atex4	2	4	2310.00	0.42
atex4	2	5	2310.00	0.41
atex4	2	6	2310.00	0.41
atex4	2	7	2310.00	0.42
atex4	2	8	2310.00	0.42
atex4	2	9	2310.00	0.43
atex4	2	10	2310.00	0.41
atex4	5	1	2320.00	0.52
atex4	5	2	2320.00	0.55
atex4	5	3	2320.00	0.55
atex4	5	4	2320.00	0.54
atex4	5	5	2320.00	0.53
atex4	5	6	2320.00	0.53
atex4	5	7	2320.00	0.55
atex4	5	8	2320.00	0.56
atex4	5	9	2320.00	0.55
atex4	5	10	2320.00	0.53
atex4	8	1	2503.00	66.14
atex4	8	2	2503.00	66.24
atex4	8	3	2503.00	65.60
atex4	8	4	2503.00	67.33
atex4	8	5	2503.00	65.92
atex4	8	6	2503.00	65.92
atex4	8	7	2503.00	66.39
atex4	8	8	2503.00	65.52
atex4	8	9	2503.00	65.88
atex4	8	10	2503.00	64.98
atex5	2	1	3281.00	0.69
atex5	2	2	3281.00	0.70
atex5	2	3	3281.00	0.70
atex5	2	4	3281.00	0.70
atex5	2	5	3281.00	0.69
atex5	2	6	3281.00	0.69
atex5	2	7	3281.00	0.69
atex5	2	8	3281.00	0.70
atex5	2	9	3281.00	0.69
atex5	2	10	3281.00	0.70
atex5	5	1	3281.00	0.88
atex5	5	2	3281.00	0.89
atex5	5	3	3281.00	0.87
atex5	5	4	3281.00	0.93
atex5	5	5	3281.00	0.90
atex5	5	6	3281.00	0.93
atex5	5	7	3281.00	0.87
atex5	5	8	3281.00	0.89
atex5	5	9	3281.00	0.92
atex5	5	10	3281.00	0.94
atex5	8	1	3765.00	2.61
atex5	8	2	3763.00	2.61
atex5	8	3	3843.00	3.08
atex5	8	4	3765.00	2.53
atex5	8	5	3843.00	3.05
atex5	8	6	3765.00	2.51
atex5	8	7	3765.00	2.55
atex5	8	8	3843.00	3.07
atex5	8	9	3843.00	3.05
atex5	8	10	3765.00	2.54
br17	2	1	39.00	0.09
br17	2	2	39.00	0.11
br17	2	3	39.00	0.10
br17	2	4	39.00	0.09
br17	2	5	39.00	0.09
br17	2	6	39.00	0.09
br17	2	7	39.00	0.09
br17	2	8	39.00	0.11
br17	2	9	39.00	0.09
br17	2	10	39.00	0.11
br17	5	1	39.00	0.10
br17	5	2	39.00	0.10
br17	5	3	39.00	0.09
br17	5	4	39.00	0.08
br17	5	5	39.00	0.08
br17	5	6	39.00	0.08
br17	5	7	39.00	0.10
br17	5	8	39.00	0.08
br17	5	9	39.00	0.09
