instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
atex1        2  10    1028.00        0.00          1028.00        0.0100     0.0000    0.0100     1028.0           0.2          OPTIMAL        0.0000              True                1028.0      0.0000
atex1        5  10    1597.00        0.00          1597.00        0.0300     0.0000    0.0300     1597.0           0.6          OPTIMAL        0.0000              True                1603.0      -0.3743
atex1        8  10    1597.00        0.00          1597.00        0.0100     0.0000    0.0100     1597.0           0.4          OPTIMAL        0.0000              True                1604.0      -0.4364
atex3        2  10    1580.00        0.00          1580.00        0.0470     0.0048    0.0400     1580.0           0.8          OPTIMAL        0.0000              True                1580.0      0.0000
atex3        5  10    1943.00        0.00          1943.00        0.0720     0.0063    0.0700     1943.0           1.3          OPTIMAL        0.0000              True                1963.0      -1.0188
atex3        8  10    2464.00        0.00          2464.00        0.1770     0.0048    0.1700     2464.0           1.5          OPTIMAL        0.0000              True                2491.0      -1.0839
atex4        2  10    2310.00        0.00          2310.00        0.4200     0.0105    0.4100     2310.0           3.0          OPTIMAL        0.0000              True                2310.0      0.0000
atex4        5  10    2320.00        0.00          2320.00        0.5410     0.0129    0.5200     2320.0           3.3          OPTIMAL        0.0000              True                2310.0      0.4329
atex4        8  10    2503.00        0.00          2503.00        65.9920    0.6196    64.9800    2465.0           8.9          OPTIMAL        1.5416              False               2497.0      0.2403
atex5        2  10    3281.00        0.00          3281.00        0.6950     0.0053    0.6900     3281.0           5.3          OPTIMAL        0.0000              True                3291.0      -0.3039
atex5        5  10    3281.00        0.00          3281.00        0.9020     0.0262    0.8700     3281.0           8.3          OPTIMAL        0.0000              True                3315.0      -1.0256
atex5        8  10    3796.00        40.46         3763.00        2.7600     0.2624    2.5100     3592.0           6.8          OPTIMAL        4.7606              True                3633.0      3.5783
br17         2  10    39.00          0.00          39.00          0.0970     0.0095    0.0900     39.0             0.1          OPTIMAL        0.0000              True                39.0        0.0000
br17         5  10    39.00          0.00          39.00          0.0890     0.0088    0.0800     39.0             0.1          OPTIMAL        0.0000              True                39.0        0.0000
br17         8  10    39.00          0.00          39.00          0.0780     0.0079    0.0600     39.0             0.2          OPTIMAL        0.0000              True                39.0        0.0000
code198      2  10    842.00         0.00          842.00         274.8240   0.7594    273.7900   842.0            13.0         OPTIMAL        0.0000              False               861.0       -2.2067
code198      5  10    842.00         0.00          842.00         256.0500   0.5629    254.9900   842.0            13.4         OPTIMAL        0.0000              False               861.0       -2.2067
code198      8  10    842.00         0.00          842.00         158.3380   0.8759    156.7300   842.0            13.7         OPTIMAL        0.0000              False               861.0       -2.2067
code253      2  10    6263.00        0.00          6263.00        122.7030   0.2751    122.2900   6263.0           25.4         OPTIMAL        0.0000              False               6417.0      -2.3999
code253      5  10    6263.00        0.00          6263.00        93.9810    0.3385    93.5500    6263.0           23.1         OPTIMAL        0.0000              False               6417.0      -2.3999
code253      8  10    27347.00       879.11        25679.00       227.2220   1.6676    225.0800   23069.0          314.8        OPTIMAL        11.3139             True                23709.0     8.3091
crane100_0   2  10    1521048.40     3118.85       1519569.00     0.7270     0.0106    0.7200     1519569.0        120.9        OPTIMAL        0.0000              True                1539931.0   -1.3223
crane100_0   5  10    3295827.30     19987.33      3280360.00     2.0940     0.0184    2.0800     3119565.0        53.7         OPTIMAL        5.1544              True                3164486.0   3.6617
crane100_0   8  10    5426134.30     26462.33      5387962.00     6.6300     0.2118    6.5000     5193803.0        56.6         OPTIMAL        3.7383              True                5276384.0   2.1147
crane100_1   2  10    1029922.00     0.00          1029922.00     0.8890     0.0120    0.8700     1028512.0        16.9         OPTIMAL        0.1371              True                1032523.0   -0.2519
crane100_1   5  10    2867383.60     34447.20      2827722.00     2.1100     0.0306    2.0900     2587915.7        58.0         OPTIMAL        9.2664              True                2603184.0   8.6255
crane100_1   8  10    4831808.90     9394.81       4828838.00     6.0610     0.0569    5.9900     4696089.0        36.4         OPTIMAL        2.8268              True                4734596.0   1.9905
crane100_2   2  10    1349023.00     0.00          1349023.00     0.8980     0.0140    0.8800     1318394.0        44.0         OPTIMAL        2.3232              True                1330918.0   1.3603
crane100_2   5  10    2978580.90     22675.93      2961251.00     1.8800     0.0249    1.8500     2843409.0        24.3         OPTIMAL        4.1444              True                2880373.0   2.8079
crane100_2   8  10    5317905.70     28177.37      5257948.00     6.3890     0.2020    6.1700     5020301.0        60.1         OPTIMAL        4.7337              True                5101127.0   3.0742
crane100_3   2  10    1536135.00     23625.27      1524971.00     1.2950     0.0158    1.2700     1378011.0        77.4         OPTIMAL        10.6646             True                1383523.0   10.2238
crane100_3   5  10    2942805.30     18801.95      2889294.00     2.9260     0.0324    2.8500     2751209.0        37.2         OPTIMAL        5.0191              True                2791376.0   3.5079
crane100_3   8  10    4974923.70     37151.01      4903089.00     6.4180     0.1782    6.3100     4623169.0        25.1         OPTIMAL        6.0547              True                4701300.0   4.2922
crane100_4   2  10    1203034.00     0.00          1203034.00     1.1340     0.0107    1.1200     1203034.0        17.6         OPTIMAL        0.0000              True                1214944.0   -0.9803
crane100_4   5  10    2951774.00     0.00          2951774.00     1.9690     0.0185    1.9400     2929798.0        49.9         OPTIMAL        0.7501              True                2967592.0   -0.5330
crane100_4   8  10    5179720.30     59021.00      5086298.00     6.3540     0.2298    6.1600     4984399.0        69.3         OPTIMAL        2.0444              True                5066143.0   0.3978
crane100_5   2  10    1267277.00     0.00          1267277.00     1.2440     0.0143    1.2300     1211265.0        48.3         OPTIMAL        4.6243              True                1223983.0   3.5371
crane100_5   5  10    3014308.00     10007.55      3004814.00     2.7300     0.0216    2.6900     2756499.0        18.6         OPTIMAL        9.0083              True                2756499.0   9.0083
crane100_5   8  10    5569006.60     41888.79      5449789.00     8.7140     0.1019    8.4600     5157956.0        28.3         OPTIMAL        5.6579              True                5181831.0   5.1711
