grupo          instance     num_cities  g  gap_gurobi_percent  gap_UB_percent  mean_time  gurobi_time  faster_than_gurobi
Pequeno porte  atex1        16          2  0.0000              0.0000          0.0100     0.2          True
Pequeno porte  atex1        16          5  0.0000              -0.3743         0.0300     0.6          True
Pequeno porte  atex1        16          8  0.0000              -0.4364         0.0100     0.4          True
Pequeno porte  atex3        32          2  0.0000              0.0000          0.0450     0.8          True
Pequeno porte  atex3        32          5  0.0000              -1.0188         0.1090     1.3          True
Pequeno porte  atex3        32          8  0.0000              -1.0839         0.1950     1.5          True
Pequeno porte  atex4        48          2  0.0000              0.0000          0.3700     3.0          True
Pequeno porte  atex4        48          5  0.0000              0.4329          0.4130     3.3          True
Pequeno porte  atex4        48          8  0.0000              -1.2815         13.8690    8.9          False
Pequeno porte  atex5        72          2  0.2133              -0.0912         0.6930     5.3          True
Pequeno porte  atex5        72          5  0.0000              -1.0256         0.7480     8.3          True
Pequeno porte  atex5        72          8  4.7606              3.5783          2.6720     6.8          True
Pequeno porte  br17         17          2  0.0000              0.0000          0.1030     0.1          False
Pequeno porte  br17         17          5  0.0000              0.0000          0.0900     0.1          True
Pequeno porte  br17         17          8  0.0000              0.0000          0.0740     0.2          True
Médio porte    code198      198         2  0.0000              -2.2067         275.1770   13.0         False
Médio porte    code198      198         5  0.0000              -2.2067         256.2260   13.4         False
Médio porte    code198      198         8  0.0000              -2.2067         164.1100   13.7         False
Grande porte   code253      253         2  0.0000              -2.3999         114.1370   25.4         False
Grande porte   code253      253         5  0.0000              -2.3999         36.1270    23.1         False
Grande porte   code253      253         8  13.0261             9.9751          245.6620   314.8        True
Pequeno porte  crane100_0   100         2  0.0000              -1.3223         0.8060     120.9        True
Pequeno porte  crane100_0   100         5  5.8578              4.3551          2.0050     53.7         True
Pequeno porte  crane100_0   100         8  3.3834              1.7654          5.1980     56.6         True
Pequeno porte  crane100_1   100         2  0.1371              -0.2519         1.1170     16.9         True
Pequeno porte  crane100_1   100         5  6.8321              6.2055          1.7360     58.0         True
Pequeno porte  crane100_1   100         8  2.4790              1.6455          5.5800     36.4         True
Pequeno porte  crane100_2   100         2  0.0000              -0.9410         0.8620     44.0         True
Pequeno porte  crane100_2   100         5  4.0065              2.6718          1.6510     24.3         True
