grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Grande porte	code253	253	2	0.0000	-2.3999	114.1370	25.4	False
Grande porte	code253	253	5	0.0000	-2.3999	36.1270	23.1	False
Grande porte	code253	253	8	13.0261	9.9751	245.6620	314.8	True
Grande porte	crane316_10	316	2	7.5765	6.7819	33.0440	1489.9	True
Grande porte	crane316_10	316	5	16.5638	4.9566	107.3980	1423.1	True
Grande porte	crane316_10	316	8	12.4727	4.3327	455.8700	1522.0	True
Grande porte	crane316_11	316	2	17.5379	16.7557	30.7420	3600.2	True
Grande porte	crane316_11	316	5	19.5314	18.4183	91.6240	1048.4	True
Grande porte	crane316_11	316	8	10.8691	9.7823	427.0770	2163.5	True
Grande porte	crane316_12	316	2	10.0252	10.2162	33.3460	3600.4	True
Grande porte	crane316_12	316	5	14.1874	2.4594	108.3570	3607.5	True
Grande porte	crane316_12	316	8	10.8865	5.7320	411.8860	2722.4	True
Grande porte	crane316_13	316	2	13.5680	7.2484	34.0170	3600.2	True
Grande porte	crane316_13	316	5	15.0125	1.8626	99.9640	1329.2	True
Grande porte	crane316_13	316	8	11.2316	9.6742	420.8470	1313.4	True
Grande porte	crane316_14	316	2	17.5802	14.4071	40.6560	3600.1	True
Grande porte	crane316_14	316	5	8.3369	8.2713	109.4760	3600.1	True
Grande porte	crane316_14	316	8	9.4705	0.8465	392.5400	3544.7	True
Grande porte	crane316_15	316	2	16.3626	8.9632	35.9780	3604.5	True
Grande porte	crane316_15	316	5	21.7105	17.6810	108.8330	3600.2	True
Grande porte	crane316_15	316	8	14.2998	12.4777	520.3400	1634.3	True
Grande porte	crane316_16	316	2	29.1893	26.7973	35.3440	3600.1	True
Grande porte	crane316_16	316	5	16.1183	4.6361	131.0380	3600.3	True
Grande porte	crane316_16	316	8	10.0388	-1.6970	525.0770	3600.1	True
Grande porte	crane316_17	316	2	13.5667	12.5203	40.7790	3600.1	True
