grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Médio porte	code198	198	2	0.0000	-2.2067	275.1770	13.0	False
Médio porte	code198	198	5	0.0000	-2.2067	256.2260	13.4	False
Médio porte	code198	198	8	0.0000	-2.2067	164.1100	13.7	False
Médio porte	dc112	112	2	0.0000	0.0000	4.2970	2.4	False
Médio porte	dc112	112	5	0.0000	0.0000	2.0490	18.2	True
Médio porte	dc112	112	8	0.0000	0.0000	7.7860	95.0	True
Médio porte	dc126	126	2	0.0000	-1.2259	0.4780	1.2	True
Médio porte	dc126	126	5	0.0000	-1.2312	5.7620	35.7	True
Médio porte	dc126	126	8	0.0000	-1.2530	68.4500	235.2	True
Médio porte	dc134	134	2	0.0000	0.0000	17.2290	12.8	False
Médio porte	dc134	134	5	0.0000	0.0000	13.1570	11.4	False
Médio porte	dc134	134	8	0.0000	-0.3664	6.1400	23.0	True
Médio porte	dc176	176	2	0.0182	-1.1689	47.9440	137.8	True
Médio porte	dc176	176	5	0.0000	-1.1868	39.5530	111.6	True
Médio porte	dc176	176	8	0.0000	-1.5748	34.3900	71.6	True
Médio porte	dc188	188	2	0.0000	-0.8045	84.3230	51.0	False
Médio porte	dc188	188	5	0.0000	-0.8045	70.5130	36.3	False
Médio porte	dc188	188	8	0.0000	-0.9671	20.8110	90.8	True
Médio porte	ftv100	101	2	1.3781	1.3781	20.3370	8.3	False
Médio porte	ftv100	101	5	0.9587	0.9587	21.5820	7.9	False
Médio porte	ftv100	101	8	0.2397	0.2397	18.4940	6.7	False
Médio porte	ftv110	111	2	1.5856	1.5320	22.4010	16.0	False
Médio porte	ftv110	111	5	2.1142	2.0602	29.0570	13.2	False
Médio porte	ftv110	111	8	6.2368	6.1807	27.6530	13.3	False
Médio porte	ftv120	121	2	2.1026	2.1026	33.5100	9.9	False
Médio porte	ftv120	121	5	4.4103	4.4103	36.7860	10.1	False
Médio porte	ftv120	121	8	7.0769	7.0769	28.6810	8.9	False
Médio porte	ftv130	131	2	2.8241	2.7765	41.6030	16.9	False
Médio porte	ftv130	131	5	0.1852	0.1388	50.0670	13.3	False
Médio porte	ftv130	131	8	6.4815	6.2356	35.5430	15.9	False
Médio porte	ftv140	141	2	3.2373	3.1458	60.1470	26.5	False
Médio porte	ftv140	141	5	4.7450	4.3286	69.8840	28.0	False
Médio porte	ftv140	141	8	7.4058	6.9788	58.0030	19.4	False
Médio porte	ftv150	151	2	6.9210	6.8789	77.9620	29.7	False
Médio porte	ftv150	151	5	5.7413	5.4096	92.9970	24.0	False
Médio porte	ftv150	151	8	5.8592	5.8176	88.7920	27.5	False
Médio porte	ftv160	161	2	5.3006	5.3006	95.6050	35.4	False
Médio porte	ftv160	161	5	5.0237	4.9407	110.7460	30.4	False
Médio porte	ftv160	161	8	7.6345	7.5494	99.2440	38.9	False
Médio porte	ftv170	171	2	5.7519	5.7519	124.8260	23.0	False
Médio porte	ftv170	171	5	6.4286	6.4286	150.5920	25.0	False
Médio porte	ftv170	171	8	0.7143	0.7143	131.8460	27.2	False
Médio porte	td100_1	101	2	2.7226	1.4692	0.6720	14.2	True
Médio porte	td100_1	101	5	2.6795	1.5902	0.8940	3.9	True
Médio porte	td100_1	101	8	1.1101	-0.1659	4.7050	2.1	False
