grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Pequeno porte	atex1	16	2	0.0000	0.0000	0.0100	0.2	True
Pequeno porte	atex1	16	5	0.0000	-0.3743	0.0300	0.6	True
Pequeno porte	atex1	16	8	0.0000	-0.4364	0.0100	0.4	True
Pequeno porte	atex3	32	2	0.0000	0.0000	0.0450	0.8	True
Pequeno porte	atex3	32	5	0.0000	-1.0188	0.1090	1.3	True
Pequeno porte	atex3	32	8	0.0000	-1.0839	0.1950	1.5	True
Pequeno porte	atex4	48	2	0.0000	0.0000	0.3700	3.0	True
Pequeno porte	atex4	48	5	0.0000	0.4329	0.4130	3.3	True
Pequeno porte	atex4	48	8	0.0000	-1.2815	13.8690	8.9	False
Pequeno porte	atex5	72	2	0.2133	-0.0912	0.6930	5.3	True
Pequeno porte	atex5	72	5	0.0000	-1.0256	0.7480	8.3	True
Pequeno porte	atex5	72	8	4.7606	3.5783	2.6720	6.8	True
Pequeno porte	br17	17	2	0.0000	0.0000	0.1030	0.1	False
Pequeno porte	br17	17	5	0.0000	0.0000	0.0900	0.1	True
Pequeno porte	br17	17	8	0.0000	0.0000	0.0740	0.2	True
Pequeno porte	crane100_0	100	2	0.0000	-1.3223	0.8060	120.9	True
Pequeno porte	crane100_0	100	5	5.8578	4.3551	2.0050	53.7	True
Pequeno porte	crane100_0	100	8	3.3834	1.7654	5.1980	56.6	True
Pequeno porte	crane100_1	100	2	0.1371	-0.2519	1.1170	16.9	True
Pequeno porte	crane100_1	100	5	6.8321	6.2055	1.7360	58.0	True
Pequeno porte	crane100_1	100	8	2.4790	1.6455	5.5800	36.4	True
Pequeno porte	crane100_2	100	2	0.0000	-0.9410	0.8620	44.0	True
Pequeno porte	crane100_2	100	5	4.0065	2.6718	1.6510	24.3	True
Pequeno porte	crane100_2	100	8	3.1297	1.4956	5.9010	60.1	True
Pequeno porte	crane100_3	100	2	10.6646	10.2238	1.2630	77.4	True
Pequeno porte	crane100_3	100	5	6.0051	4.4798	2.7810	37.2	True
Pequeno porte	crane100_3	100	8	3.9132	2.1862	6.0550	25.1	True
Pequeno porte	crane100_4	100	2	-1.4872	-2.4530	0.8320	17.6	True
