instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
atex1	2	10	1028.00	0.00	1028.00	0.0100	0.0000	0.0100	1028.0	0.2	OPTIMAL	0.0000	True	1028.0	0.0000
atex1	5	10	1597.00	0.00	1597.00	0.0300	0.0000	0.0300	1597.0	0.6	OPTIMAL	0.0000	True	1603.0	-0.3743
atex1	8	10	1597.00	0.00	1597.00	0.0100	0.0000	0.0100	1597.0	0.4	OPTIMAL	0.0000	True	1604.0	-0.4364
atex3	2	10	1580.00	0.00	1580.00	0.0450	0.0053	0.0400	1580.0	0.8	OPTIMAL	0.0000	True	1580.0	0.0000
atex3	5	10	1943.00	0.00	1943.00	0.1090	0.0088	0.1000	1943.0	1.3	OPTIMAL	0.0000	True	1963.0	-1.0188
atex3	8	10	2464.00	0.00	2464.00	0.1950	0.0268	0.1700	2464.0	1.5	OPTIMAL	0.0000	True	2491.0	-1.0839
atex4	2	10	2310.00	0.00	2310.00	0.3700	0.0115	0.3600	2310.0	3.0	OPTIMAL	0.0000	True	2310.0	0.0000
atex4	5	10	2320.00	0.00	2320.00	0.4130	0.0106	0.4000	2320.0	3.3	OPTIMAL	0.0000	True	2310.0	0.4329
atex4	8	10	2477.50	17.23	2465.00	13.8690	27.1674	0.8500	2465.0	8.9	OPTIMAL	0.0000	False	2497.0	-1.2815
atex5	2	10	3288.00	0.00	3288.00	0.6930	0.0142	0.6700	3281.0	5.3	OPTIMAL	0.2133	True	3291.0	-0.0912
atex5	5	10	3281.00	0.00	3281.00	0.7480	0.0114	0.7300	3281.0	8.3	OPTIMAL	0.0000	True	3315.0	-1.0256
atex5	8	10	3763.60	0.97	3763.00	2.6720	0.0215	2.6400	3592.0	6.8	OPTIMAL	4.7606	True	3633.0	3.5783
br17	2	10	39.00	0.00	39.00	0.1030	0.0067	0.0900	39.0	0.1	OPTIMAL	0.0000	False	39.0	0.0000
br17	5	10	39.00	0.00	39.00	0.0900	0.0067	0.0800	39.0	0.1	OPTIMAL	0.0000	True	39.0	0.0000
br17	8	10	39.00	0.00	39.00	0.0740	0.0084	0.0600	39.0	0.2	OPTIMAL	0.0000	True	39.0	0.0000
code198	2	10	842.00	0.00	842.00	275.1770	0.4814	274.3000	842.0	13.0	OPTIMAL	0.0000	False	861.0	-2.2067
code198	5	10	842.00	0.00	842.00	256.2260	0.4842	255.4100	842.0	13.4	OPTIMAL	0.0000	False	861.0	-2.2067
code198	8	10	842.00	0.00	842.00	164.1100	2.7227	160.9900	842.0	13.7	OPTIMAL	0.0000	False	861.0	-2.2067
code253	2	10	6263.00	0.00	6263.00	114.1370	0.3517	113.7000	6263.0	25.4	OPTIMAL	0.0000	False	6417.0	-2.3999
code253	5	10	6263.00	0.00	6263.00	36.1270	0.2529	35.6500	6263.0	23.1	OPTIMAL	0.0000	False	6417.0	-2.3999
code253	8	10	26074.00	0.00	26074.00	245.6620	1.6890	243.3100	23069.0	314.8	OPTIMAL	13.0261	True	23709.0	9.9751
crane100_0	2	10	1519569.00	0.00	1519569.00	0.8060	0.0070	0.8000	1519569.0	120.9	OPTIMAL	0.0000	True	1539931.0	-1.3223
crane100_0	5	10	3309467.00	8417.66	3302304.00	2.0050	0.0151	1.9800	3119565.0	53.7	OPTIMAL	5.8578	True	3164486.0	4.3551
crane100_0	8	10	5377903.90	9747.75	5369532.00	5.1980	0.1178	5.0000	5193803.0	56.6	OPTIMAL	3.3834	True	5276384.0	1.7654
crane100_1	2	10	1029922.00	0.00	1029922.00	1.1170	0.0134	1.1000	1028512.0	16.9	OPTIMAL	0.1371	True	1032523.0	-0.2519
crane100_1	5	10	2797579.00	13244.55	2764724.00	1.7360	0.0227	1.7100	2587915.7	58.0	OPTIMAL	6.8321	True	2603184.0	6.2055
crane100_1	8	10	4826186.40	22678.60	4812503.00	5.5800	0.0615	5.4900	4696089.0	36.4	OPTIMAL	2.4790	True	4734596.0	1.6455
crane100_2	2	10	1318394.00	0.00	1318394.00	0.8620	0.0123	0.8400	1318394.0	44.0	OPTIMAL	0.0000	True	1330918.0	-0.9410
crane100_2	5	10	2970015.20	9045.08	2957331.00	1.6510	0.0074	1.6400	2843409.0	24.3	OPTIMAL	4.0065	True	2880373.0	2.6718
crane100_2	8	10	5273744.20	64707.88	5177422.00	5.9010	0.0791	5.7800	5020301.0	60.1	OPTIMAL	3.1297	True	5101127.0	1.4956
crane100_3	2	10	1524971.00	0.00	1524971.00	1.2630	0.0125	1.2400	1378011.0	77.4	OPTIMAL	10.6646	True	1383523.0	10.2238
crane100_3	5	10	2977794.40	39392.26	2916423.00	2.7810	0.0173	2.7500	2751209.0	37.2	OPTIMAL	6.0051	True	2791376.0	4.4798
crane100_3	8	10	4901240.60	46111.29	4804082.00	6.0550	0.0620	5.9500	4623169.0	25.1	OPTIMAL	3.9132	True	4701300.0	2.1862
crane100_4	2	10	1185142.00	0.00	1185142.00	0.8320	0.0063	0.8200	1203034.0	17.6	OPTIMAL	-1.4872	True	1214944.0	-2.4530
crane100_4	5	10	2996763.40	7249.21	2983009.00	1.5860	0.0165	1.5500	2929798.0	49.9	OPTIMAL	1.8162	True	2967592.0	0.5195
crane100_4	8	10	5366606.60	114113.34	5148223.00	7.0060	0.3555	6.3500	4984399.0	69.3	OPTIMAL	3.2867	True	5066143.0	1.6202
crane100_5	2	10	1284549.80	4897.47	1275669.00	1.2150	0.0108	1.2000	1211265.0	48.3	OPTIMAL	5.3171	True	1223983.0	4.2228
crane100_5	5	10	3051330.20	9280.65	3046928.00	2.6620	0.0983	2.6000	2756499.0	18.6	OPTIMAL	10.5362	True	2756499.0	10.5362
crane100_5	8	10	5449506.30	119055.56	5254170.00	8.0930	0.2912	7.8400	5157956.0	28.3	OPTIMAL	1.8654	True	5181831.0	1.3960
