grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Grande porte	code253	253	2	0.5908	-1.8233	170.9430	25.4	False
Grande porte	code253	253	5	95.8167	91.1173	302.8250	23.1	False
Grande porte	code253	253	8	45.5460	41.6171	557.5580	314.8	False
Grande porte	crane316_10	316	2	12.4207	11.5903	38.8020	1489.9	True
Grande porte	crane316_10	316	5	17.3757	5.6876	108.3890	1423.1	True
Grande porte	crane316_10	316	8	14.2426	5.9745	397.6420	1522.0	True
Grande porte	crane316_11	316	2	23.9113	23.0867	35.1390	3600.2	True
Grande porte	crane316_11	316	5	17.5075	16.4132	106.6770	1048.4	True
Grande porte	crane316_11	316	8	13.6143	12.5006	415.2380	2163.5	True
Grande porte	crane316_12	316	2	14.3732	14.5717	38.6630	3600.4	True
Grande porte	crane316_12	316	5	16.5491	4.5785	120.4410	3607.5	True
Grande porte	crane316_12	316	8	10.6785	5.5337	399.4760	2722.4	True
Grande porte	crane316_13	316	2	22.4946	15.6783	38.5210	3600.2	True
Grande porte	crane316_13	316	5	23.2934	9.1967	102.5740	1329.2	True
Grande porte	crane316_13	316	8	11.4338	9.8736	407.2470	1313.4	True
Grande porte	crane316_14	316	2	20.3236	17.0765	39.2690	3600.1	True
Grande porte	crane316_14	316	5	14.9209	14.8513	124.6830	3600.1	True
Grande porte	crane316_14	316	8	9.1988	0.5962	419.1000	3544.7	True
Grande porte	crane316_15	316	2	25.2811	17.3146	38.3920	3604.5	True
Grande porte	crane316_15	316	5	21.7103	17.6808	119.0410	3600.2	True
Grande porte	crane316_15	316	8	17.0272	15.1616	523.4290	1634.3	True
Grande porte	crane316_16	316	2	30.3270	27.9140	41.2350	3600.1	True
Grande porte	crane316_16	316	5	18.4221	6.7121	117.1770	3600.3	True
Grande porte	crane316_16	316	8	10.2420	-1.5156	414.0220	3600.1	True
Grande porte	crane316_17	316	2	23.6155	22.4765	38.1530	3600.1	True
Grande porte	crane316_17	316	5	25.0989	6.5913	109.8280	3177.8	True
Grande porte	crane316_17	316	8	15.2131	9.3473	522.9560	3600.1	True
Grande porte	crane316_18	316	2	21.2122	23.0709	34.2300	3600.1	True
Grande porte	crane316_18	316	5	22.7755	21.7890	93.5230	1465.2	True
Grande porte	crane316_18	316	8	13.5025	9.5341	419.8690	3600.1	True
Grande porte	crane316_19	316	2	19.7667	19.0998	35.3740	2284.8	True
Grande porte	crane316_19	316	5	19.5197	18.1283	103.0420	1872.4	True
Grande porte	crane316_19	316	8	12.2103	7.6527	387.2860	3600.0	True
Grande porte	rbg323	323	2	10.6689	8.8260	2204.0867	30.2	False
Grande porte	rbg323	323	5	11.5157	9.6586	2166.1400	31.0	False
Grande porte	rbg323	323	8	10.5843	9.0150	1886.2267	47.2	False
Grande porte	rbg358	358	2	19.7568	19.3939	3707.1533	34.2	False
Grande porte	rbg358	358	5	19.9595	18.7563	3715.5500	31.5	False
Grande porte	rbg358	358	8	19.0476	18.6869	3201.0167	33.2	False
Grande porte	rbg403	403	2	2.5316	0.1903	4708.4900	49.0	False
Grande porte	rbg403	403	5	2.3369	0.0000	4831.0433	44.3	False
Grande porte	rbg403	403	8	2.2395	0.3824	5147.6100	53.4	False
Grande porte	rbg443	443	2	2.7004	1.3744	7737.5033	74.0	False
Grande porte	rbg443	443	5	2.7004	1.3744	7740.8367	58.0	False
Grande porte	rbg443	443	8	1.8143	0.4998	7754.1700	62.0	False
Grande porte	stilt316_10	316	2	15.3158	13.1832	68.0530	3600.1	True
Grande porte	stilt316_10	316	5	20.0729	18.2928	190.0370	3600.2	True
Grande porte	stilt316_10	316	8	10.1720	4.1465	660.6580	3600.1	True
Grande porte	stilt316_11	316	2	30.3891	28.8939	61.9240	3600.1	True
Grande porte	stilt316_11	316	5	13.4660	3.3290	172.9820	3600.1	True
Grande porte	stilt316_11	316	8	9.9868	0.0764	536.2190	3600.1	True
Grande porte	stilt316_12	316	2	22.5099	20.2564	83.5350	3600.1	True
Grande porte	stilt316_12	316	5	14.6062	3.2563	210.6070	3600.8	True
Grande porte	stilt316_12	316	8	6.8629	-0.5610	650.0460	3600.2	True
Grande porte	stilt316_13	316	2	9.9092	7.6566	54.6910	3600.1	True
Grande porte	stilt316_13	316	5	14.0684	4.6494	209.6730	3600.3	True
Grande porte	stilt316_13	316	8	6.1114	2.8628	581.9430	3600.1	True
Grande porte	stilt316_14	316	2	15.9687	12.5405	61.1000	3600.1	True
Grande porte	stilt316_14	316	5	13.3644	-4.8938	211.9090	3600.2	True
Grande porte	stilt316_14	316	8	10.6164	-1.8360	533.4200	3600.1	True
Grande porte	stilt316_15	316	2	18.9860	17.4320	57.0560	3600.1	True
Grande porte	stilt316_15	316	5	22.0651	12.5146	178.5300	2809.0	True
Grande porte	stilt316_15	316	8	4.5276	-4.8082	653.2433	3600.1	True
Grande porte	stilt316_16	316	2	28.7261	18.0727	62.0120	3600.1	True
