grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Médio porte	code198	198	2	0.2375	-1.9744	279.7080	13.0	False
Médio porte	code198	198	5	0.2375	-1.9744	276.3520	13.4	False
Médio porte	code198	198	8	53.5629	50.1742	287.4970	13.7	False
Médio porte	dc112	112	2	0.0000	0.0000	4.6140	2.4	False
Médio porte	dc112	112	5	0.0000	0.0000	7.0560	18.2	True
Médio porte	dc112	112	8	1.1383	1.1383	12.7660	95.0	True
Médio porte	dc126	126	2	0.0000	-1.2259	2.5980	1.2	False
Médio porte	dc126	126	5	14.1008	12.6960	4.6610	35.7	True
Médio porte	dc126	126	8	16.6670	15.2052	19.8330	235.2	True
Médio porte	dc134	134	2	0.0000	0.0000	16.8860	12.8	False
Médio porte	dc134	134	5	0.0000	0.0000	14.2570	11.4	False
Médio porte	dc134	134	8	0.0000	-0.3664	16.8470	23.0	True
Médio porte	dc176	176	2	0.0182	-1.1689	46.9410	137.8	True
Médio porte	dc176	176	5	0.0000	-1.1868	46.2240	111.6	True
Médio porte	dc176	176	8	0.0000	-1.5748	81.5650	71.6	False
Médio porte	dc188	188	2	0.0000	-0.8045	89.7490	51.0	False
Médio porte	dc188	188	5	0.0000	-0.8045	74.9230	36.3	False
Médio porte	dc188	188	8	0.0000	-0.9671	96.7180	90.8	False
Médio porte	ftv100	101	2	5.5123	5.5123	17.5250	8.3	False
Médio porte	ftv100	101	5	5.5123	5.5123	18.0980	7.9	False
Médio porte	ftv100	101	8	2.8760	2.8760	19.0800	6.7	False
Médio porte	ftv110	111	2	15.4334	15.3724	16.6370	16.0	False
Médio porte	ftv110	111	5	4.9683	4.9128	19.0650	13.2	False
Médio porte	ftv110	111	8	4.1755	4.1204	25.8880	13.3	False
Médio porte	ftv120	121	2	8.5641	8.5641	33.0070	9.9	False
Médio porte	ftv120	121	5	3.7436	3.7436	35.9700	10.1	False
Médio porte	ftv120	121	8	3.8462	3.8462	34.0620	8.9	False
Médio porte	ftv130	131	2	13.8889	13.8362	31.7190	16.9	False
Médio porte	ftv130	131	5	3.9352	3.8871	40.0610	13.3	False
Médio porte	ftv130	131	8	11.3426	11.0855	43.3590	15.9	False
Médio porte	ftv140	141	2	9.1353	9.0385	49.6220	26.5	False
Médio porte	ftv140	141	5	4.4346	4.0194	62.7800	28.0	False
Médio porte	ftv140	141	8	9.8448	9.4081	63.4090	19.4	False
Médio porte	ftv150	151	2	11.2859	11.2421	76.4100	29.7	False
Médio porte	ftv150	151	5	10.0275	9.6825	99.9120	24.0	False
Médio porte	ftv150	151	8	6.5277	6.4858	82.5920	27.5	False
Médio porte	ftv160	161	2	7.8323	7.8323	90.3040	35.4	False
Médio porte	ftv160	161	5	7.9905	7.9051	94.1740	30.4	False
Médio porte	ftv160	161	8	12.1835	12.0949	93.0290	38.9	False
Médio porte	ftv170	171	2	10.9774	10.9774	106.5110	23.0	False
Médio porte	ftv170	171	5	5.0000	5.0000	112.8830	25.0	False
Médio porte	ftv170	171	8	10.7895	10.7895	153.4050	27.2	False
Médio porte	td100_1	101	2	2.7226	1.4692	0.7720	14.2	True
Médio porte	td100_1	101	5	1.3235	0.2485	1.1640	3.9	True
Médio porte	td100_1	101	8	0.1566	-1.1074	5.2940	2.1	False
