grupo	instance	num_cities	g	gap_gurobi_percent	gap_UB_percent	mean_time	gurobi_time	faster_than_gurobi
Pequeno porte	atex1	16	2	0.0000	0.0000	0.0200	0.2	True
Pequeno porte	atex1	16	5	0.0000	-0.3743	0.0400	0.6	True
Pequeno porte	atex1	16	8	0.0000	-0.4364	0.0390	0.4	True
Pequeno porte	atex3	32	2	0.0000	0.0000	0.0960	0.8	True
Pequeno porte	atex3	32	5	0.0000	-1.0188	0.2120	1.3	True
Pequeno porte	atex3	32	8	0.0000	-1.0839	0.3400	1.5	True
Pequeno porte	atex4	48	2	0.0000	0.0000	0.3510	3.0	True
Pequeno porte	atex4	48	5	0.0000	0.4329	0.6500	3.3	True
Pequeno porte	atex4	48	8	3.4077	2.0825	47.1860	8.9	False
Pequeno porte	atex5	72	2	0.2133	-0.0912	0.6320	5.3	True
Pequeno porte	atex5	72	5	2.1335	1.0860	1.4400	8.3	True
Pequeno porte	atex5	72	8	4.5657	3.3856	3.1320	6.8	True
Pequeno porte	br17	17	2	0.0000	0.0000	0.0900	0.1	True
Pequeno porte	br17	17	5	0.0000	0.0000	0.0760	0.1	True
Pequeno porte	br17	17	8	0.0000	0.0000	0.0610	0.2	True
Pequeno porte	crane100_0	100	2	0.5465	-0.7830	1.0480	120.9	True
Pequeno porte	crane100_0	100	5	10.8943	9.3202	1.8090	53.7	True
Pequeno porte	crane100_0	100	8	5.2292	3.5823	5.3130	56.6	True
Pequeno porte	crane100_1	100	2	0.1371	-0.2519	1.3150	16.9	True
Pequeno porte	crane100_1	100	5	6.7927	6.1663	2.6340	58.0	True
Pequeno porte	crane100_1	100	8	6.7107	5.8428	5.7170	36.4	True
Pequeno porte	crane100_2	100	2	0.0000	-0.9410	1.3300	44.0	True
Pequeno porte	crane100_2	100	5	9.6078	8.2012	2.5000	24.3	True
Pequeno porte	crane100_2	100	8	6.3124	4.6279	5.7880	60.1	True
Pequeno porte	crane100_3	100	2	13.5574	13.1050	1.5430	77.4	True
Pequeno porte	crane100_3	100	5	3.5891	2.0985	3.3420	37.2	True
Pequeno porte	crane100_3	100	8	5.9576	4.1967	6.4660	25.1	True
Pequeno porte	crane100_4	100	2	-1.4872	-2.4530	1.3330	17.6	True
Pequeno porte	crane100_4	100	5	4.8494	3.5141	2.4040	49.9	True
Pequeno porte	crane100_4	100	8	6.9670	5.2411	6.4080	69.3	True
Pequeno porte	crane100_5	100	2	9.2452	8.1101	1.6330	48.3	True
Pequeno porte	crane100_5	100	5	14.5531	14.5531	3.1580	18.6	True
Pequeno porte	crane100_5	100	8	8.1000	7.6019	7.1450	28.3	True
Pequeno porte	crane100_6	100	2	0.0000	0.0000	1.3570	33.3	True
Pequeno porte	crane100_6	100	5	6.9870	6.4972	2.6300	19.5	True
