instance	g	run	solution	time
atex1	2	1	1028.00	0.02
atex1	2	2	1028.00	0.02
atex1	2	3	1028.00	0.02
atex1	2	4	1028.00	0.02
atex1	2	5	1028.00	0.02
atex1	2	6	1028.00	0.02
atex1	2	7	1028.00	0.02
atex1	2	8	1028.00	0.02
atex1	2	9	1028.00	0.02
atex1	2	10	1028.00	0.02
atex1	5	1	1597.00	0.04
atex1	5	2	1597.00	0.04
atex1	5	3	1597.00	0.04
atex1	5	4	1597.00	0.04
atex1	5	5	1597.00	0.04
atex1	5	6	1597.00	0.04
atex1	5	7	1597.00	0.04
atex1	5	8	1597.00	0.04
atex1	5	9	1597.00	0.04
atex1	5	10	1597.00	0.04
atex1	8	1	1597.00	0.03
atex1	8	2	1597.00	0.04
atex1	8	3	1597.00	0.04
atex1	8	4	1597.00	0.04
atex1	8	5	1597.00	0.04
atex1	8	6	1597.00	0.04
atex1	8	7	1597.00	0.04
atex1	8	8	1597.00	0.04
atex1	8	9	1597.00	0.04
atex1	8	10	1597.00	0.04
atex3	2	1	1580.00	0.10
atex3	2	2	1580.00	0.10
atex3	2	3	1580.00	0.10
atex3	2	4	1580.00	0.09
atex3	2	5	1580.00	0.09
atex3	2	6	1580.00	0.10
atex3	2	7	1580.00	0.10
atex3	2	8	1580.00	0.09
atex3	2	9	1580.00	0.09
atex3	2	10	1580.00	0.10
atex3	5	1	1943.00	0.22
atex3	5	2	1943.00	0.21
atex3	5	3	1943.00	0.22
atex3	5	4	1943.00	0.21
atex3	5	5	1943.00	0.21
atex3	5	6	1943.00	0.21
atex3	5	7	1943.00	0.21
atex3	5	8	1943.00	0.21
atex3	5	9	1943.00	0.21
atex3	5	10	1943.00	0.21
atex3	8	1	2464.00	0.33
atex3	8	2	2464.00	0.34
atex3	8	3	2464.00	0.34
atex3	8	4	2464.00	0.33
atex3	8	5	2464.00	0.34
atex3	8	6	2464.00	0.35
atex3	8	7	2464.00	0.34
atex3	8	8	2464.00	0.34
atex3	8	9	2464.00	0.35
atex3	8	10	2464.00	0.34
atex4	2	1	2310.00	0.35
atex4	2	2	2310.00	0.36
atex4	2	3	2310.00	0.35
atex4	2	4	2310.00	0.36
atex4	2	5	2310.00	0.35
atex4	2	6	2310.00	0.36
atex4	2	7	2310.00	0.34
atex4	2	8	2310.00	0.34
atex4	2	9	2310.00	0.35
atex4	2	10	2310.00	0.35
atex4	5	1	2381.00	0.64
atex4	5	2	2381.00	0.64
atex4	5	3	2381.00	0.65
atex4	5	4	2381.00	0.67
atex4	5	5	2381.00	0.67
atex4	5	6	2381.00	0.64
atex4	5	7	2381.00	0.65
atex4	5	8	2381.00	0.65
atex4	5	9	2381.00	0.64
