instance     g  runs  mean_solution  std_solution  best_solution  mean_time  std_time  best_time  gurobi_solution  gurobi_time  gurobi_status  gap_gurobi_percent  faster_than_gurobi  UB          gap_UB_percent
atex1        2  10    1028.00        0.00          1028.00        0.0200     0.0000    0.0200     1028.0           0.2          OPTIMAL        0.0000              True                1028.0      0.0000
atex1        5  10    1597.00        0.00          1597.00        0.0400     0.0000    0.0400     1597.0           0.6          OPTIMAL        0.0000              True                1603.0      -0.3743
atex1        8  10    1597.00        0.00          1597.00        0.0390     0.0032    0.0300     1597.0           0.4          OPTIMAL        0.0000              True                1604.0      -0.4364
atex3        2  10    1580.00        0.00          1580.00        0.0960     0.0052    0.0900     1580.0           0.8          OPTIMAL        0.0000              True                1580.0      0.0000
atex3        5  10    1943.00        0.00          1943.00        0.2120     0.0042    0.2100     1943.0           1.3          OPTIMAL        0.0000              True                1963.0      -1.0188
atex3        8  10    2464.00        0.00          2464.00        0.3400     0.0067    0.3300     2464.0           1.5          OPTIMAL        0.0000              True                2491.0      -1.0839
atex4        2  10    2310.00        0.00          2310.00        0.3510     0.0074    0.3400     2310.0           3.0          OPTIMAL        0.0000              True                2310.0      0.0000
atex4        5  10    2374.90        19.29         2320.00        0.6500     0.0115    0.6400     2320.0           3.3          OPTIMAL        0.0000              True                2310.0      0.4329
atex4        8  10    2549.00        0.00          2549.00        47.1860    0.7993    46.3100    2465.0           8.9          OPTIMAL        3.4077              False               2497.0      2.0825
atex5        2  10    3317.40        25.30         3288.00        0.6320     0.0042    0.6300     3281.0           5.3          OPTIMAL        0.2133              True                3291.0      -0.0912
atex5        5  10    3351.00        0.00          3351.00        1.4400     0.0105    1.4300     3281.0           8.3          OPTIMAL        2.1335              True                3315.0      1.0860
atex5        8  10    3780.00        48.50         3756.00        3.1320     0.1386    3.0200     3592.0           6.8          OPTIMAL        4.5657              True                3633.0      3.3856
br17         2  10    39.00          0.00          39.00          0.0900     0.0000    0.0900     39.0             0.1          OPTIMAL        0.0000              True                39.0        0.0000
br17         5  10    39.00          0.00          39.00          0.0760     0.0052    0.0700     39.0             0.1          OPTIMAL        0.0000              True                39.0        0.0000
br17         8  10    39.00          0.00          39.00          0.0610     0.0032    0.0600     39.0             0.2          OPTIMAL        0.0000              True                39.0        0.0000
code198      2  10    844.00         0.00          844.00         279.7080   0.7348    278.7400   842.0            13.0         OPTIMAL        0.2375              False               861.0       -1.9744
code198      5  10    844.00         0.00          844.00         276.3520   0.6117    275.3700   842.0            13.4         OPTIMAL        0.2375              False               861.0       -1.9744
code198      8  10    1293.00        0.00          1293.00        287.4970   1.2074    284.9700   842.0            13.7         OPTIMAL        53.5629             False               861.0       50.1742
code253      2  10    6300.00        0.00          6300.00        170.9430   1.2884    168.9500   6263.0           25.4         OPTIMAL        0.5908              False               6417.0      -1.8233
code253      5  10    12341.60       53.98         12264.00       302.8250   1.1211    301.3100   6263.0           23.1         OPTIMAL        95.8167             False               6417.0      91.1173
code253      8  10    34586.60       608.85        33576.00       557.5580   1.7578    555.7900   23069.0          314.8        OPTIMAL        45.5460             False               23709.0     41.6171
crane100_0   2  10    1527873.00     0.00          1527873.00     1.0480     0.0079    1.0400     1519569.0        120.9        OPTIMAL        0.5465              True                1539931.0   -0.7830
crane100_0   5  10    3467562.10     19326.32      3459421.00     1.8090     0.0110    1.8000     3119565.0        53.7         OPTIMAL        10.8943             True                3164486.0   9.3202
crane100_0   8  10    5470198.30     9739.11       5465398.00     5.3130     0.0320    5.2500     5193803.0        56.6         OPTIMAL        5.2292              True                5276384.0   3.5823
crane100_1   2  10    1120071.60     47513.01      1029922.00     1.3150     0.0071    1.3100     1028512.0        16.9         OPTIMAL        0.1371              True                1032523.0   -0.2519
crane100_1   5  10    2779713.30     22731.98      2763704.00     2.6340     0.0143    2.6200     2587915.7        58.0         OPTIMAL        6.7927              True                2603184.0   6.1663
crane100_1   8  10    5011228.00     0.00          5011228.00     5.7170     0.0275    5.6900     4696089.0        36.4         OPTIMAL        6.7107              True                4734596.0   5.8428
crane100_2   2  10    1366027.50     18102.98      1318394.00     1.3300     0.0082    1.3200     1318394.0        44.0         OPTIMAL        0.0000              True                1330918.0   -0.9410
crane100_2   5  10    3170717.30     29042.15      3116599.00     2.5000     0.0211    2.4600     2843409.0        24.3         OPTIMAL        9.6078              True                2880373.0   8.2012
crane100_2   8  10    5386573.10     61724.11      5337204.00     5.7880     0.0980    5.6500     5020301.0        60.1         OPTIMAL        6.3124              True                5101127.0   4.6279
crane100_3   2  10    1564833.00     0.00          1564833.00     1.5430     0.0200    1.5200     1378011.0        77.4         OPTIMAL        13.5574             True                1383523.0   13.1050
crane100_3   5  10    2858738.90     18613.73      2849954.00     3.3420     0.0225    3.3200     2751209.0        37.2         OPTIMAL        3.5891              True                2791376.0   2.0985
crane100_3   8  10    4959278.90     35353.22      4898598.00     6.4660     0.1039    6.3000     4623169.0        25.1         OPTIMAL        5.9576              True                4701300.0   4.1967
crane100_4   2  10    1185142.00     0.00          1185142.00     1.3330     0.0082    1.3200     1203034.0        17.6         OPTIMAL        -1.4872             True                1214944.0   -2.4530
crane100_4   5  10    3116992.50     39447.04      3071875.00     2.4040     0.0246    2.3700     2929798.0        49.9         OPTIMAL        4.8494              True                2967592.0   3.5141
crane100_4   8  10    5367762.60     13408.56      5331663.00     6.4080     0.0751    6.3100     4984399.0        69.3         OPTIMAL        6.9670              True                5066143.0   5.2411
crane100_5   2  10    1323249.00     0.00          1323249.00     1.6330     0.0275    1.5900     1211265.0        48.3         OPTIMAL        9.2452              True                1223983.0   8.1101
crane100_5   5  10    3160022.40     3057.59       3157654.00     3.1580     0.0322    3.1000     2756499.0        18.6         OPTIMAL        14.5531             True                2756499.0   14.5531
crane100_5   8  10    5695727.60     63371.29      5575748.00     7.1450     0.0477    7.1000     5157956.0        28.3         OPTIMAL        8.1000              True                5181831.0   7.6019
crane100_6   2  10    1026234.00     0.00          1026234.00     1.3570     0.0200    1.3200     1026234.0        33.3         OPTIMAL        0.0000              True                1026234.0   0.0000
