instance	g	run	solution	time	status
atex1	2	1	1650.00	0.09	OK
atex1	2	2	1650.00	0.07	OK
atex1	2	3	1650.00	0.08	OK
atex1	2	4	1650.00	0.09	OK
atex1	2	5	1650.00	0.08	OK
atex1	2	6	1650.00	0.09	OK
atex1	2	7	1650.00	0.10	OK
atex1	2	8	1650.00	0.08	OK
atex1	2	9	1650.00	0.09	OK
atex1	2	10	1650.00	0.09	OK
atex1	5	1	1597.00	0.10	OK
atex1	5	2	1597.00	0.11	OK
atex1	5	3	1597.00	0.11	OK
atex1	5	4	1597.00	0.10	OK
atex1	5	5	1597.00	0.11	OK
atex1	5	6	1597.00	0.11	OK
atex1	5	7	1597.00	0.12	OK
atex1	5	8	1597.00	0.11	OK
atex1	5	9	1597.00	0.10	OK
atex1	5	10	1597.00	0.10	OK
atex1	8	1	1597.00	0.14	OK
atex1	8	2	1597.00	0.13	OK
atex1	8	3	1597.00	0.14	OK
atex1	8	4	1597.00	0.13	OK
atex1	8	5	1597.00	0.14	OK
atex1	8	6	1597.00	0.13	OK
atex1	8	7	1597.00	0.14	OK
atex1	8	8	1597.00	0.15	OK
atex1	8	9	1597.00	0.14	OK
atex1	8	10	1597.00	0.14	OK
atex3	2	1	1580.00	0.39	OK
atex3	2	2	1580.00	0.44	OK
atex3	2	3	1580.00	0.38	OK
atex3	2	4	1580.00	0.42	OK
atex3	2	5	1580.00	0.37	OK
atex3	2	6	1580.00	0.42	OK
atex3	2	7	1580.00	0.40	OK
atex3	2	8	1580.00	0.36	OK
atex3	2	9	1580.00	0.34	OK
atex3	2	10	1580.00	0.34	OK
atex3	5	1	1943.00	0.86	OK
atex3	5	2	1943.00	0.90	OK
atex3	5	3	1943.00	0.97	OK
atex3	5	4	1943.00	0.99	OK
atex3	5	5	1943.00	1.04	OK
atex3	5	6	1943.00	1.04	OK
atex3	5	7	1943.00	1.09	OK
atex3	5	8	1943.00	0.77	OK
atex3	5	9	1943.00	0.80	OK
atex3	5	10	1943.00	1.13	OK
atex3	8	1	2464.00	1.24	OK
atex3	8	2	2464.00	1.35	OK
atex3	8	3	2464.00	1.28	OK
atex3	8	4	2464.00	1.30	OK
atex3	8	5	2464.00	1.27	OK
atex3	8	6	2464.00	1.30	OK
atex3	8	7	2464.00	1.38	OK
atex3	8	8	2464.00	1.33	OK
atex3	8	9	2464.00	1.41	OK
