instance	g	runs	mean_solution	std_solution	best_solution	mean_time	std_time	best_time	gurobi_solution	gurobi_time	gurobi_status	gap_gurobi_percent	faster_than_gurobi	UB	gap_UB_percent
atex1	2	10	1650.00	0.00	1650.00	0.0860	0.0084	0.0700	1028.0	0.2	OPTIMAL	60.5058	True	1028.0	60.5058
atex1	5	10	1597.00	0.00	1597.00	0.1070	0.0067	0.1000	1597.0	0.6	OPTIMAL	0.0000	True	1603.0	-0.3743
atex1	8	10	1597.00	0.00	1597.00	0.1380	0.0063	0.1300	1597.0	0.4	OPTIMAL	0.0000	True	1604.0	-0.4364
atex3	2	10	1580.00	0.00	1580.00	0.3860	0.0344	0.3400	1580.0	0.8	OPTIMAL	0.0000	True	1580.0	0.0000
atex3	5	10	1943.00	0.00	1943.00	0.9590	0.1224	0.7700	1943.0	1.3	OPTIMAL	0.0000	True	1963.0	-1.0188
atex3	8	10	2464.00	0.00	2464.00	1.3390	0.0846	1.2400	2464.0	1.5	OPTIMAL	0.0000	True	2491.0	-1.0839
atex4	2	10	2350.00	0.00	2350.00	1.6650	0.3048	1.4600	2310.0	2.9	OPTIMAL	1.7316	True	2310.0	1.7316
atex4	5	10	2327.00	0.00	2327.00	2.8400	0.3138	2.5600	2320.0	3.3	OPTIMAL	0.3017	True	2310.0	0.7359
atex4	8	10	2573.00	0.00	2573.00	68.5490	0.5851	67.9400	2465.0	8.9	OPTIMAL	4.3813	False	2497.0	3.0437
atex5	2	10	3288.00	0.00	3288.00	3.8500	0.6014	3.0100	3281.0	5.3	OPTIMAL	0.2133	True	3291.0	-0.0912
atex5	5	10	3311.00	31.62	3281.00	7.2010	0.8621	6.2300	3281.0	6.3	OPTIMAL	0.9144	False	3315.0	-0.1207
atex5	8	10	3784.20	16.52	3765.00	13.0370	0.6562	12.3500	3592.0	5.8	OPTIMAL	5.3508	False	3633.0	4.1618
br17	2	10	39.00	0.00	39.00	0.3420	0.0434	0.2400	39.0	0.1	OPTIMAL	0.0000	False	39.0	0.0000
br17	5	10	39.00	0.00	39.00	0.2930	0.0067	0.2900	39.0	0.1	OPTIMAL	0.0000	False	39.0	0.0000
br17	8	10	39.00	0.00	39.00	0.2330	0.0048	0.2300	39.0	0.2	OPTIMAL	0.0000	False	39.0	0.0000
code198	2	10	844.00	0.00	844.00	1238.0220	35.5864	1223.1100	842.0	13.0	OPTIMAL	0.2375	False	861.0	-1.9744
code198	5	10	1635.00	0.00	1635.00	1320.1840	24.1663	1286.3800	842.0	12.5	OPTIMAL	94.1805	False	861.0	89.8955
code198	8	10	1634.00	0.00	1634.00	887.7770	23.7270	879.0100	842.0	12.2	OPTIMAL	94.0618	False	861.0	89.7793
code253	2	10	16522.00	0.00	16522.00	647.3410	22.7334	631.6800	6263.0	19.6	OPTIMAL	163.8033	False	6417.0	157.4723
code253	5	10	32857.00	0.00	32857.00	1676.9200	3.0515	1673.1900	6263.0	22.5	OPTIMAL	424.6208	False	6417.0	412.0305
code253	8	10	55802.00	0.00	55802.00	2178.0130	9.8568	2167.4000	23069.0	314.8	OPTIMAL	141.8917	False	23709.0	135.3621
crane100_0	2	10	1549950.00	0.00	1549950.00	4.5670	0.1358	4.2700	1519569.0	120.9	OPTIMAL	1.9993	True	1539931.0	0.6506
crane100_0	5	10	3522923.00	910.74	3520331.00	7.5050	0.0401	7.4500	3119565.0	53.7	OPTIMAL	12.9299	True	3164486.0	11.3269
crane100_0	8	10	5490248.90	22513.33	5457564.00	22.4090	0.1336	22.2000	5193803.0	56.6	OPTIMAL	5.7077	True	5276384.0	4.0532
crane100_1	2	10	1029922.00	0.00	1029922.00	5.4830	0.0437	5.4300	1028512.0	16.9	OPTIMAL	0.1371	True	1032523.0	-0.2519
crane100_1	5	10	2729374.00	0.00	2729374.00	10.9890	0.1104	10.8600	2587915.7	58.0	OPTIMAL	5.4661	True	2603184.0	4.8475
