instance	g	threads	fo	tempo
atex5	2	1	3288.00	3.06
atex5	2	5	3288.00	0.73
atex5	2	10	3288.00	0.53
atex5	2	15	3288.00	0.42
atex5	5	1	3281.00	3.12
atex5	5	5	3281.00	0.79
atex5	5	10	3281.00	0.55
atex5	5	15	3281.00	0.48
atex5	8	1	3763.00	11.24
atex5	8	5	3763.00	2.73
atex5	8	10	3763.00	1.95
atex5	8	15	3763.00	1.70
stilt100_0	2	1	2500962.00	7.01
stilt100_0	2	5	2500962.00	1.59
stilt100_0	2	10	2500962.00	1.08
stilt100_0	2	15	2500962.00	0.91
stilt100_0	5	1	6204784.00	9.02
stilt100_0	5	5	6204784.00	2.46
stilt100_0	5	10	6099866.00	1.56
stilt100_0	5	15	6086315.00	1.32
stilt100_0	8	1	10818762.00	39.48
stilt100_0	8	5	10873830.00	8.79
stilt100_0	8	10	10818762.00	11.18
stilt100_0	8	15	10750658.00	5.66
dc134	2	1	3743.00	72.13
dc134	2	5	3743.00	18.18
dc134	2	10	3743.00	12.75
dc134	2	15	3743.00	10.97
dc134	5	1	3743.00	55.64
dc134	5	5	3743.00	14.15
dc134	5	10	3743.00	9.70
dc134	5	15	3743.00	8.88
dc134	8	1	3807.00	24.67
dc134	8	5	3807.00	6.20
dc134	8	10	3807.00	4.72
dc134	8	15	3807.00	4.16
ftv100	2	1	1711.00	85.84
ftv100	2	5	1703.00	21.34
ftv100	2	10	1703.00	14.97
ftv100	2	15	1711.00	12.84
ftv100	5	1	1696.00	91.32
ftv100	5	5	1696.00	22.89
ftv100	5	10	1712.00	16.37
ftv100	5	15	1685.00	13.85
ftv100	8	1	1673.00	83.94
ftv100	8	5	1673.00	18.78
ftv100	8	10	1866.00	13.42
ftv100	8	15	1852.00	12.10
crane316_13	2	1	1958824.00	146.47
crane316_13	2	5	1936735.00	38.76
crane316_13	2	10	1958824.00	25.41
crane316_13	2	15	2052725.00	22.02
crane316_13	5	1	5036675.00	429.15
crane316_13	5	5	5036675.00	107.67
crane316_13	5	10	4978423.00	73.35
crane316_13	5	15	5036675.00	63.94
crane316_13	8	1	8245631.00	1774.32
crane316_13	8	5	8539581.00	443.52
crane316_13	8	10	8245631.00	310.58
crane316_13	8	15	8288358.00	258.59
crane316_14	2	1	2118006.00	173.06
crane316_14	2	5	2118006.00	45.52
crane316_14	2	10	2083115.00	30.52
crane316_14	2	15	2078060.00	26.11
crane316_14	5	1	4934953.00	469.72
crane316_14	5	5	4833510.00	114.97
crane316_14	5	10	4911646.00	81.85
crane316_14	5	15	4714343.00	68.82
crane316_14	8	1	8619627.00	1684.73
crane316_14	8	5	8458198.00	417.39
crane316_14	8	10	8458198.00	285.29
crane316_14	8	15	8458198.00	247.06
